"sep=	"
Shimmer_001_TimestampSync_Unix_CAL	Shimmer_001_Accel_LN_X_CAL	Shimmer_001_Accel_LN_Y_CAL	Shimmer_001_Accel_LN_Z_CAL	Shimmer_001_Accel_WR_X_CAL	Shimmer_001_Accel_WR_Y_CAL	Shimmer_001_Accel_WR_Z_CAL	Shimmer_001_Battery_CAL	Shimmer_001_ECG_EMG_Status1_CAL	Shimmer_001_EMG_CH1_24BIT_CAL	Shimmer_001_EMG_CH2_24BIT_CAL	Shimmer_001_Gyro_X_CAL	Shimmer_001_Gyro_Y_CAL	Shimmer_001_Gyro_Z_CAL	Shimmer_001_Mag_X_CAL	Shimmer_001_Mag_Y_CAL	Shimmer_001_Mag_Z_CAL	Shimmer_001_Pressure_BMP180_CAL	Shimmer_001_Temperature_BMP180_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	mV	no_units	mV	mV	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	kPa	Degrees Celsius	
1501507259986.45	1.81927710843374	0.325301204819277	6.31325301204819	1.53034947884733	1.17719190680564	6.52360515021459	3976.55677655678	128.0	14.831596592855	15.7061434633903	4.09160305343511	47.0687022900763	50.4732824427481	-0.380909090909091	0.101818181818182	-0.0642857142857143	101.327335108805	31.3784825437515	
1501507260005.98	1.75903614457831	-0.27710843373494	6.45783132530121	1.60882893930104	0.706315144083384	6.1704475781729	3958.97435897436	128.0	14.8204417809377	15.6965032056773	-18.1984732824427	38.442748091603	55.8320610687023	-0.39	0.0781818181818182	-0.0642857142857143	101.318446335577	31.3784825437515	
1501507260025.51	1.57831325301205	-0.819277108433735	7.0	1.42244022072348	0.0980993255671367	6.43531575720417	3939.92673992674	128.0	14.7920018186571	15.6916950970922	-47.0687022900763	37.0534351145038	60.5038167938931	-0.382727272727273	0.0981818181818182	-0.0642857142857143	101.321409259213	31.3784825437515	
1501507260045.04	2.93975903614458	0.710843373493976	11.7951807228916	2.12875536480687	0.539546290619252	9.43715511955855	3980.95238095238	128.0	14.8135421451182	15.6968397732782	-45.5114503816794	4.06106870229008	58.0916030534351	-0.374545454545455	0.105454545454545	-0.0693877551020408	101.327335108805	31.3784825437515	
1501507260064.57	5.51807228915663	2.93975903614458	14.9036144578313	4.49294911097486	2.86450030656039	13.4396076026977	3982.41758241758	128.0	14.7821932771436	15.6981379625962	-4.68702290076336	-6.99236641221374	38.8549618320611	-0.368181818181818	0.115454545454545	-0.0663265306122449	101.321409259213	31.3784825437515	
1501507260084.1	3.8433734939759	0.72289156626506	12.0	4.21827099938688	2.09932556713673	12.6057633353771	3980.95238095238	128.0	14.8046231036929	15.706864679678	33.8167938931298	-4.73282442748092	13.6488549618321	-0.372727272727273	0.105454545454545	-0.0683673469387755	101.327335108805	31.3784825437515	
1501507260103.63	2.16867469879518	0.0481927710843373	9.79518072289157	3.4432863274065	1.41263028816677	11.3304721030043	3964.83516483516	128.0	14.7864724937843	15.7017921251208	29.3435114503817	-22.2442748091603	9.77099236641221	-0.372727272727273	0.104545454545455	-0.0642857142857143	101.324372183623	31.3784825437515	
1501507260123.16	0.819277108433735	1.20481927710843	9.46987951807229	2.02084610668302	1.24586143470264	9.89822194972409	3985.34798534799	128.0	14.8137585100045	15.7103986394881	19.236641221374	-20.9770992366412	5.87786259541985	-0.38	0.0809090909090909	-0.0612244897959184	101.321409259213	31.3784825437515	
1501507260142.68	-1.07228915662651	1.97590361445783	8.21686746987952	0.353157572041692	2.13856529736358	9.14285714285714	3969.23076923077	128.0	14.7906555482533	15.7045808281001	23.236641221374	8.27480916030534	1.22137404580153	-0.380909090909091	0.0918181818181818	-0.0602040816326531	101.321409259213	31.3784825437515	
1501507260162.21	-2.40963855421687	1.50602409638554	5.71084337349398	-1.39301042305334	2.41324340895156	7.37706928264868	3966.30036630037	128.0	14.8232064433741	15.7147259372146	22.2137404580153	46.4732824427481	1.17557251908397	-0.378181818181818	0.0845454545454546	-0.0653061224489796	101.330298034761	31.3784825437515	
1501507260181.74	-2.83132530120482	-0.36144578313253	3.37349397590361	-2.67811158798283	1.47148988350705	4.75781729000613	3973.62637362637	128.0	14.7997188329361	15.7021527332647	-2.18320610687023	70.0	21.7099236641221	-0.369090909090909	0.0772727272727273	-0.0683673469387755	101.327335108805	31.3784825437515	
1501507260201.27	-1.96385542168675	-1.18072289156627	5.59036144578313	-2.89393010423053	-0.147148988350705	3.97302268546904	3973.62637362637	128.0	14.8013295493121	15.7116487477202	-59.4961832061069	58.1679389312977	67.8015267175573	-0.359090909090909	0.09	-0.0612244897959184	101.327335108805	31.3784825437515	
1501507260220.8	0.240963855421687	-0.445783132530121	9.96385542168675	-1.38320049049663	0.00980993255671367	6.78847332924586	3988.27838827839	128.0	14.7990937788201	15.7087879231121	-95.587786259542	43.6946564885496	90.793893129771	-0.355454545454545	0.105454545454545	-0.0530612244897959	101.336223888992	31.3784825437515	
1501507260240.33	4.12048192771084	0.891566265060241	16.1325301204819	1.67749846719804	0.784794604537094	12.2918454935622	3983.88278388278	128.0	14.7870013857287	15.6961185569905	-72.7022900763359	37.9541984732824	92.6870229007634	-0.351818181818182	0.0909090909090909	-0.0479591836734694	101.327335108805	31.3784825437515	
1501507260259.86	6.81927710843374	1.98795180722892	18.7831325301205	5.24831391784181	2.226854690374	17.0889025137952	3961.90476190476	128.0	14.7789478038487	15.7057347741606	-6.80916030534351	24.5038167938931	46.1526717557252	-0.350909090909091	0.103636363636364	-0.0479591836734694	101.327335108805	31.3784825437515	
1501507260279.39	5.78313253012048	-0.120481927710843	15.6265060240964	6.02329858982219	1.59901900674433	16.755364806867	3980.95238095238	128.0	14.7753657629529	15.6920076241502	57.236641221374	-7.0381679389313	10.1068702290076	-0.350909090909091	0.102727272727273	-0.0489795918367347	101.321409259213	31.3784825437515	
1501507260298.92	3.49397590361446	-1.65060240963855	12.1084337349398	4.44389944819129	-0.264868179031269	13.6161863887186	3969.23076923077	128.0	14.7873619938726	15.7021527332647	65.6793893129771	-52.5954198473282	4.97709923664122	-0.35	0.0881818181818182	-0.0469387755102041	101.321409259213	31.3784825437515	
1501507260318.45	1.31325301204819	-0.759036144578313	10.4819277108434	2.295524218271	-0.313917841814837	11.2814224402207	3969.23076923077	128.0	14.7906555482533	15.7062155850191	49.8625954198473	-82.0	0.931297709923664	-0.357272727272727	0.0927272727272727	-0.0459183673469388	101.327335108805	31.3784825437515	
