Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	
Accel_LN_Z	Accel_LN_Z	Accel_LN_Y	Accel_LN_Y	Timestamp	Timestamp	Accel_LN_X	Accel_LN_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	Ticks	ms	m/(s^2)	no_units	
2333.0	-3.4457831325301207	2662.0	-24.27710843373494	1.1485224E7	862501.1901855469	-7.409638554216868	4062.0	
2331.0	-3.421686746987952	2661.0	-24.27710843373494	1.1517992E7	863501.1901855469	-7.397590361445784	4062.0	
2335.0	-3.4698795180722892	2664.0	-24.27710843373494	1.155076E7	864501.1901855469	-7.433734939759036	4062.0	
2335.0	-3.4698795180722892	2662.0	-24.27710843373494	1.1583528E7	865501.1901855469	-7.409638554216868	4062.0	
2331.0	-3.421686746987952	2662.0	-24.27710843373494	1.1616296E7	866501.1901855469	-7.409638554216868	4062.0	
2333.0	-3.4457831325301207	2662.0	-24.27710843373494	1.1649064E7	867501.1901855469	-7.409638554216868	4062.0	
2334.0	-3.457831325301205	2669.0	-24.27710843373494	1.1681832E7	868501.1901855469	-7.493975903614459	4062.0	
2336.0	-3.4819277108433737	2665.0	-24.27710843373494	1.17146E7	869501.1901855469	-7.445783132530121	4062.0	
2332.0	-3.433734939759036	2656.0	-24.27710843373494	1.1747368E7	870501.1901855469	-7.337349397590362	4062.0	
2347.0	-3.6144578313253013	2675.0	-24.27710843373494	1.1780136E7	871501.1901855469	-7.566265060240965	4062.0	
2331.0	-3.421686746987952	2704.0	-24.27710843373494	1.1812904E7	872501.1901855469	-7.91566265060241	4062.0	
2337.0	-3.493975903614458	2687.0	-24.289156626506024	1.1845672E7	873501.1901855469	-7.710843373493976	4063.0	
2361.0	-3.7831325301204823	2722.0	-24.289156626506024	1.187844E7	874501.1901855469	-8.132530120481928	4063.0	
2333.0	-3.4457831325301207	2686.0	-24.27710843373494	1.1911208E7	875501.1901855469	-7.698795180722892	4062.0	
2308.0	-3.144578313253012	2663.0	-24.27710843373494	1.1943976E7	876501.1901855469	-7.421686746987953	4062.0	
2358.0	-3.7469879518072293	2647.0	-24.27710843373494	1.1976744E7	877501.1901855469	-7.228915662650603	4062.0	
2324.0	-3.3373493975903616	2678.0	-24.27710843373494	1.2009512E7	878501.1901855469	-7.602409638554217	4062.0	
2340.0	-3.530120481927711	2671.0	-24.27710843373494	1.204228E7	879501.1901855469	-7.518072289156627	4062.0	
2341.0	-3.5421686746987953	2674.0	-24.27710843373494	1.2075048E7	880501.1901855469	-7.55421686746988	4062.0	
2334.0	-3.457831325301205	2696.0	-24.289156626506024	1.2107816E7	881501.1901855469	-7.819277108433735	4063.0	
2341.0	-3.5421686746987953	2696.0	-24.289156626506024	1.2140584E7	882501.1901855469	-7.819277108433735	4063.0	
2332.0	-3.433734939759036	2689.0	-24.289156626506024	1.2173352E7	883501.1901855469	-7.734939759036145	4063.0	
2326.0	-3.36144578313253	2688.0	-24.27710843373494	1.220612E7	884501.1901855469	-7.72289156626506	4062.0	
2168.0	-1.457831325301205	2802.0	-24.289156626506024	1.2238888E7	885501.1901855469	-9.096385542168676	4063.0	
2060.0	-0.1566265060240964	2848.0	-24.289156626506024	1.2271656E7	886501.1901855469	-9.650602409638555	4063.0	
2335.0	-3.4698795180722892	2675.0	-24.27710843373494	1.2304424E7	887501.1901855469	-7.566265060240965	4062.0	
2076.0	-0.3493975903614458	2528.0	-24.27710843373494	1.2337192E7	888501.1901855469	-5.795180722891566	4062.0	
2661.0	-7.397590361445784	3073.0	-24.27710843373494	1.236996E7	889501.1901855469	-12.361445783132531	4062.0	
2258.0	-2.5421686746987953	2694.0	-24.27710843373494	1.2402728E7	890501.1901855469	-7.795180722891566	4062.0	
2210.0	-1.963855421686747	2669.0	-24.27710843373494	1.2435496E7	891501.1901855469	-7.493975903614459	4062.0	
2355.0	-3.7108433734939763	2889.0	-24.265060240963855	1.2468264E7	892501.1901855469	-10.144578313253012	4061.0	
2203.0	-1.8795180722891567	2732.0	-24.27710843373494	1.2501032E7	893501.1901855469	-8.25301204819277	4062.0	
2314.0	-3.216867469879518	2739.0	-24.27710843373494	1.25338E7	894501.1901855469	-8.337349397590362	4062.0	
1751.0	3.5662650602409642	2406.0	-24.27710843373494	1.2566568E7	895501.1901855469	-4.325301204819278	4062.0	
2288.0	-2.9036144578313254	2888.0	-24.27710843373494	1.2599336E7	896501.1901855469	-10.132530120481928	4062.0	
2076.0	-0.3493975903614458	2863.0	-24.27710843373494	1.2632104E7	897501.1901855469	-9.831325301204819	4062.0	
2363.0	-3.807228915662651	2648.0	-24.27710843373494	1.2664872E7	898501.1901855469	-7.240963855421687	4062.0	
2254.0	-2.4939759036144578	2427.0	-24.27710843373494	1.269764E7	899501.1901855469	-4.578313253012048	4062.0	
2363.0	-3.807228915662651	2648.0	-24.27710843373494	1.2730408E7	900501.1901855469	-7.240963855421687	4062.0	
2248.0	-2.4216867469879517	2778.0	-24.27710843373494	1.2763176E7	901501.1901855469	-8.807228915662652	4062.0	
2246.0	-2.397590361445783	2745.0	-24.27710843373494	1.2795944E7	902501.1901855469	-8.409638554216867	4062.0	
2201.0	-1.8554216867469882	2734.0	-24.289156626506024	1.2828712E7	903501.1901855469	-8.27710843373494	4063.0	
2157.0	-1.3253012048192772	2696.0	-24.27710843373494	1.286148E7	904501.1901855469	-7.819277108433735	4062.0	
2303.0	-3.0843373493975905	2730.0	-24.27710843373494	1.2894248E7	905501.1901855469	-8.228915662650603	4062.0	
2226.0	-2.1566265060240966	2851.0	-24.27710843373494	1.2927016E7	906501.1901855469	-9.686746987951807	4062.0	
1828.0	2.63855421686747	2860.0	-24.27710843373494	1.2959784E7	907501.1901855469	-9.795180722891567	4062.0	
2175.0	-1.5421686746987953	2760.0	-24.27710843373494	1.2992552E7	908501.1901855469	-8.590361445783133	4062.0	
2178.0	-1.5783132530120483	2740.0	-24.27710843373494	1.302532E7	909501.1901855469	-8.349397590361447	4062.0	
2218.0	-2.060240963855422	2772.0	-24.289156626506024	1.3058088E7	910501.1901855469	-8.734939759036145	4063.0	
1822.0	2.710843373493976	2709.0	-24.27710843373494	1.3090856E7	911501.1901855469	-7.975903614457832	4062.0	
2025.0	0.26506024096385544	2923.0	-24.30120481927711	1.3123624E7	912501.1901855469	-10.55421686746988	4064.0	
1966.0	0.9759036144578314	2789.0	-24.289156626506024	1.3156392E7	913501.1901855469	-8.93975903614458	4063.0	
2197.0	-1.8072289156626506	2800.0	-24.289156626506024	1.318916E7	914501.1901855469	-9.072289156626507	4063.0	
2120.0	-0.8795180722891567	2834.0	-24.289156626506024	1.3221928E7	915501.1901855469	-9.481927710843374	4063.0	
1993.0	0.6506024096385542	2803.0	-24.289156626506024	1.3254696E7	916501.1901855469	-9.10843373493976	4063.0	
2285.0	-2.8674698795180724	2789.0	-24.289156626506024	1.3287464E7	917501.1901855469	-8.93975903614458	4063.0	
1606.0	5.313253012048193	2720.0	-24.27710843373494	1.3320232E7	918501.1901855469	-8.108433734939759	4062.0	
2012.0	0.42168674698795183	2890.0	-24.27710843373494	1.3353E7	919501.1901855469	-10.156626506024097	4062.0	
2142.0	-1.144578313253012	2840.0	-24.27710843373494	1.3385768E7	920501.1901855469	-9.55421686746988	4062.0	
2209.0	-1.9518072289156627	2813.0	-24.27710843373494	1.3418536E7	921501.1901855469	-9.228915662650603	4062.0	
2144.0	-1.1686746987951808	2809.0	-24.27710843373494	1.3451304E7	922501.1901855469	-9.180722891566266	4062.0	
2115.0	-0.819277108433735	2808.0	-24.27710843373494	1.3484072E7	923501.1901855469	-9.168674698795181	4062.0	
2099.0	-0.6265060240963856	2813.0	-24.265060240963855	1.351684E7	924501.1901855469	-9.228915662650603	4061.0	
2225.0	-2.144578313253012	2812.0	-24.289156626506024	1.3549608E7	925501.1901855469	-9.216867469879519	4063.0	
2339.0	-3.5180722891566267	2612.0	-24.27710843373494	1.3582376E7	926501.1901855469	-6.807228915662651	4062.0	
2167.0	-1.4457831325301205	2839.0	-24.27710843373494	1.3615144E7	927501.1901855469	-9.542168674698795	4062.0	
2024.0	0.27710843373493976	2771.0	-24.27710843373494	1.3647912E7	928501.1901855469	-8.72289156626506	4062.0	
2252.0	-2.4698795180722892	2799.0	-24.27710843373494	1.368068E7	929501.1901855469	-9.060240963855422	4062.0	
1659.0	4.674698795180723	2400.0	-24.289156626506024	1.3713448E7	930501.1901855469	-4.253012048192772	4063.0	
1881.0	2.0	2927.0	-24.27710843373494	1.3746216E7	931501.1901855469	-10.602409638554217	4062.0	
2166.0	-1.4337349397590362	2808.0	-24.289156626506024	1.3778984E7	932501.1901855469	-9.168674698795181	4063.0	
1923.0	1.493975903614458	2870.0	-24.27710843373494	1.3811752E7	933501.1901855469	-9.91566265060241	4062.0	
2218.0	-2.060240963855422	2778.0	-24.289156626506024	1.384452E7	934501.1901855469	-8.807228915662652	4063.0	
2182.0	-1.6265060240963856	2873.0	-24.30120481927711	1.3877288E7	935501.1901855469	-9.951807228915664	4064.0	
2044.0	0.03614457831325302	2877.0	-24.289156626506024	1.3910056E7	936501.1901855469	-10.0	4063.0	
2242.0	-2.3493975903614457	2790.0	-24.289156626506024	1.3942824E7	937501.1901855469	-8.951807228915664	4063.0	
2254.0	-2.4939759036144578	2779.0	-24.289156626506024	1.3975592E7	938501.1901855469	-8.819277108433736	4063.0	
2098.0	-0.6144578313253012	2664.0	-24.27710843373494	1.400836E7	939501.1901855469	-7.433734939759036	4062.0	
2075.0	-0.3373493975903615	2908.0	-24.289156626506024	1.4041128E7	940501.1901855469	-10.373493975903616	4063.0	
2222.0	-2.108433734939759	2798.0	-24.289156626506024	1.4073896E7	941501.1901855469	-9.048192771084338	4063.0	
2249.0	-2.433734939759036	2785.0	-24.289156626506024	1.4106664E7	942501.1901855469	-8.891566265060241	4063.0	
2229.0	-2.1927710843373496	2790.0	-24.289156626506024	1.4139432E7	943501.1901855469	-8.951807228915664	4063.0	
2225.0	-2.144578313253012	2791.0	-24.289156626506024	1.41722E7	944501.1901855469	-8.963855421686748	4063.0	
2236.0	-2.27710843373494	2770.0	-24.289156626506024	1.4204968E7	945501.1901855469	-8.710843373493976	4063.0	
2262.0	-2.5903614457831328	2798.0	-24.30120481927711	1.4237736E7	946501.1901855469	-9.048192771084338	4064.0	
2177.0	-1.566265060240964	2852.0	-24.30120481927711	1.4270504E7	947501.1901855469	-9.698795180722891	4064.0	
2304.0	-3.096385542168675	2770.0	-24.289156626506024	1.4303272E7	948501.1901855469	-8.710843373493976	4063.0	
2284.0	-2.855421686746988	2707.0	-24.289156626506024	1.433604E7	949501.1901855469	-7.951807228915663	4063.0	
2024.0	0.27710843373493976	3233.0	-24.289156626506024	1.4368808E7	950501.1901855469	-14.289156626506024	4063.0	
2395.0	-4.19277108433735	2914.0	-24.27710843373494	1.4401576E7	951501.1901855469	-10.44578313253012	4062.0	
2198.0	-1.8192771084337351	2744.0	-24.289156626506024	1.4434344E7	952501.1901855469	-8.397590361445783	4063.0	
2452.0	-4.879518072289157	3771.0	-24.27710843373494	1.4467112E7	953501.1901855469	-20.7710843373494	4062.0	
1867.0	2.168674698795181	2934.0	-24.289156626506024	1.449988E7	954501.1901855469	-10.686746987951809	4063.0	
2091.0	-0.5301204819277109	2861.0	-24.27710843373494	1.4532648E7	955501.1901855469	-9.807228915662652	4062.0	
3403.0	-16.337349397590362	3259.0	-24.253012048192772	1.4565416E7	956501.1901855469	-14.602409638554217	4060.0	
1970.0	0.9277108433734941	2773.0	-24.27710843373494	1.4598184E7	957501.1901855469	-8.74698795180723	4062.0	
2042.0	0.060240963855421686	2069.0	-24.265060240963855	1.4630952E7	958501.1901855469	-0.26506024096385544	4061.0	
2178.0	-1.5783132530120483	1368.0	-24.27710843373494	1.466372E7	959501.1901855469	8.180722891566266	4062.0	
2042.0	0.060240963855421686	2069.0	-24.265060240963855	1.4696488E7	960501.1901855469	-0.26506024096385544	4061.0	
2593.0	-6.578313253012048	1507.0	-24.27710843373494	1.4729256E7	961501.1901855469	6.506024096385542	4062.0	
2573.0	-6.337349397590362	1458.0	-24.27710843373494	1.4762024E7	962501.1901855469	7.096385542168675	4062.0	
2632.0	-7.048192771084338	1461.0	-24.289156626506024	1.4794792E7	963501.1901855469	7.060240963855422	4063.0	
2704.0	-7.91566265060241	1641.0	-24.27710843373494	1.482756E7	964501.1901855469	4.891566265060241	4062.0	
2583.0	-6.457831325301205	1536.0	-24.27710843373494	1.4860328E7	965501.1901855469	6.156626506024097	4062.0	
2672.0	-7.530120481927711	1556.0	-24.27710843373494	1.4893096E7	966501.1901855469	5.91566265060241	4062.0	
2663.0	-7.421686746987953	1594.0	-24.289156626506024	1.4925864E7	967501.1901855469	5.457831325301205	4063.0	
2660.0	-7.385542168674699	1590.0	-24.289156626506024	1.4958632E7	968501.1901855469	5.506024096385542	4063.0	
2654.0	-7.313253012048193	1607.0	-24.289156626506024	1.49914E7	969501.1901855469	5.301204819277109	4063.0	
2731.0	-8.240963855421688	1631.0	-24.27710843373494	1.5024168E7	970501.1901855469	5.0120481927710845	4062.0	
2724.0	-8.156626506024097	1654.0	-24.27710843373494	1.5056936E7	971501.1901855469	4.734939759036145	4062.0	
2711.0	-8.0	1609.0	-24.289156626506024	1.5089704E7	972501.1901855469	5.27710843373494	4063.0	
2698.0	-7.843373493975904	1564.0	-24.27710843373494	1.5122472E7	973501.1901855469	5.819277108433735	4062.0	
2679.0	-7.614457831325302	1595.0	-24.289156626506024	1.515524E7	974501.1901855469	5.445783132530121	4063.0	
2638.0	-7.120481927710844	1555.0	-24.289156626506024	1.5188008E7	975501.1901855469	5.927710843373494	4063.0	
2631.0	-7.0361445783132535	1549.0	-24.289156626506024	1.5220776E7	976501.1901855469	6.0	4063.0	
2903.0	-10.313253012048193	1796.0	-24.30120481927711	1.5253544E7	977501.1901855469	3.024096385542169	4064.0	
2593.0	-6.578313253012048	1436.0	-24.30120481927711	1.5286312E7	978501.1901855469	7.36144578313253	4064.0	
2671.0	-7.518072289156627	1548.0	-24.289156626506024	1.531908E7	979501.1901855469	6.0120481927710845	4063.0	
2676.0	-7.578313253012048	1558.0	-24.30120481927711	1.5351848E7	980501.1901855469	5.891566265060241	4064.0	
2700.0	-7.867469879518072	1582.0	-24.27710843373494	1.5384616E7	981501.1901855469	5.602409638554217	4062.0	
2683.0	-7.662650602409639	1583.0	-24.27710843373494	1.5417384E7	982501.1901855469	5.590361445783133	4062.0	
2669.0	-7.493975903614459	1574.0	-24.27710843373494	1.5450152E7	983501.1901855469	5.698795180722892	4062.0	
2685.0	-7.686746987951808	1563.0	-24.289156626506024	1.548292E7	984501.1901855469	5.83132530120482	4063.0	
2679.0	-7.614457831325302	1547.0	-24.27710843373494	1.5515688E7	985501.1901855469	6.024096385542169	4062.0	
2683.0	-7.662650602409639	1569.0	-24.27710843373494	1.5548456E7	986501.1901855469	5.759036144578314	4062.0	
2671.0	-7.518072289156627	1526.0	-24.27710843373494	1.5581224E7	987501.1901855469	6.27710843373494	4062.0	
2680.0	-7.626506024096386	1569.0	-24.27710843373494	1.5613992E7	988501.1901855469	5.759036144578314	4062.0	
2671.0	-7.518072289156627	1526.0	-24.27710843373494	1.564676E7	989501.1901855469	6.27710843373494	4062.0	
2758.0	-8.566265060240964	1494.0	-24.27710843373494	1.5712296E7	991501.1901855469	6.662650602409639	4062.0	
2637.0	-7.1084337349397595	1567.0	-24.289156626506024	1.5745064E7	992501.1901855469	5.783132530120482	4063.0	
2684.0	-7.674698795180723	1573.0	-24.27710843373494	1.5777832E7	993501.1901855469	5.710843373493976	4062.0	
2003.0	0.5301204819277109	1484.0	-24.30120481927711	1.58106E7	994501.1901855469	6.783132530120482	4064.0	
2081.0	-0.4096385542168675	1469.0	-24.289156626506024	1.5843368E7	995501.1901855469	6.963855421686747	4063.0	
2212.0	-1.9879518072289157	1344.0	-24.30120481927711	1.5876136E7	996501.1901855469	8.46987951807229	4064.0	
2222.0	-2.108433734939759	1465.0	-24.289156626506024	1.5908904E7	997501.1901855469	7.0120481927710845	4063.0	
2210.0	-1.963855421686747	1256.0	-24.289156626506024	1.5941672E7	998501.1901855469	9.530120481927712	4063.0	
2265.0	-2.626506024096386	1285.0	-24.30120481927711	1.597444E7	999501.1901855469	9.180722891566266	4064.0	
2005.0	0.5060240963855422	1350.0	-24.289156626506024	1.6007208E7	1000501.1901855469	8.397590361445783	4063.0	
2158.0	-1.3373493975903614	1127.0	-24.30120481927711	1.6039976E7	1001501.1901855469	11.084337349397591	4064.0	
2063.0	-0.1927710843373494	1258.0	-24.289156626506024	1.6072744E7	1002501.1901855469	9.506024096385543	4063.0	
2194.0	-1.7710843373493976	1217.0	-24.289156626506024	1.6105512E7	1003501.1901855469	10.0	4063.0	
2174.0	-1.530120481927711	1270.0	-24.289156626506024	1.613828E7	1004501.1901855469	9.361445783132531	4063.0	
2275.0	-2.746987951807229	1232.0	-24.30120481927711	1.6171048E7	1005501.1901855469	9.819277108433736	4064.0	
2165.0	-1.421686746987952	1329.0	-24.30120481927711	1.6203816E7	1006501.1901855469	8.650602409638555	4064.0	
2473.0	-5.132530120481928	988.0	-24.30120481927711	1.6236584E7	1007501.1901855469	12.759036144578314	4064.0	
2589.0	-6.530120481927711	2351.0	-24.289156626506024	1.6269352E7	1008501.1901855469	-3.662650602409639	4063.0	
2621.0	-6.91566265060241	2557.0	-24.30120481927711	1.630212E7	1009501.1901855469	-6.144578313253012	4064.0	
2651.0	-7.2771084337349405	2483.0	-24.30120481927711	1.6334888E7	1010501.1901855469	-5.253012048192772	4064.0	
2627.0	-6.987951807228916	2477.0	-24.30120481927711	1.6367656E7	1011501.1901855469	-5.1807228915662655	4064.0	
